team,over,bowler,batter,player_out,dismissal_kind,fielders,batter_strike_rate,bowler_economy,desirable_run_rate
New Zealand,2,J Srinath,SP Fleming,SP Fleming,caught,M Kaif,16.67,1.64,6.6
New Zealand,32,SC Ganguly,NJ Astle,NJ Astle,caught,Z Khan,78.35,3.5,10.24
New Zealand,35,J Srinath,CD McMillan,CD McMillan,lbw,,71.43,3.07,11.64
New Zealand,42,Harbhajan Singh,MS Sinclair,MS Sinclair,caught,R Dravid,61.42,5.33,17.29
New Zealand,43,Z Khan,JDP Oram,JDP Oram,run out,J Srinath,57.14,4.24,19.33
New Zealand,45,J Srinath,L Vincent,L Vincent,bowled,,106.25,3.56,24.0
New Zealand,47,Z Khan,BB McCullum,BB McCullum,caught,Yuvraj Singh,58.33,4.56,47.45
New Zealand,47,Z Khan,KD Mills,KD Mills,bowled,,71.43,4.58,45.27
New Zealand,49,Z Khan,DR Tuffey,DR Tuffey,bowled,,71.43,4.8,
India,0,DR Tuffey,SC Ganguly,SC Ganguly,bowled,,0.0,0.0,5.43
India,14,KD Mills,VVS Laxman,VVS Laxman,caught,BB McCullum,50.0,4.2,6.0
India,23,DL Vettori,V Sehwag,R Dravid,run out,"SP Fleming, BB McCullum",65.0,5.48,6.29
India,23,DL Vettori,Yuvraj Singh,Yuvraj Singh,stumped,BB McCullum,0.0,5.04,6.29
India,35,DR Tuffey,M Kaif,M Kaif,caught,BB McCullum,63.16,3.24,6.08
India,36,JDP Oram,SB Bangar,SB Bangar,caught,BB McCullum,80.0,6.25,6.18
India,39,DR Tuffey,Harbhajan Singh,V Sehwag,run out,DR Tuffey,92.86,3.68,6.38
India,40,PA Hitchcock,Harbhajan Singh,Harbhajan Singh,caught,BB McCullum,82.35,4.6,7.0
India,43,KD Mills,J Srinath,J Srinath,caught,JDP Oram,50.0,4.3,8.77
India,43,KD Mills,Z Khan,Z Khan,caught,CD McMillan,84.62,4.35,8.31
